,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long,county_fips,state_fips,weather
122714,5900,2010.0,honda,crv,,,gas,,clean,automatic,,,,,,33.8867,-118.1265,6037.0,6.0,59.0
122722,7800,2007.0,bmw,328i coupe,excellent,6 cylinders,gas,74000.0,clean,automatic,WBAWV13517P117948,rwd,mid-size,coupe,grey,34.1672,-118.3989,6037.0,6.0,59.0
122723,4500,2003.0,chevy,tahoe ls,excellent,8 cylinders,gas,138000.0,clean,automatic,,,,SUV,,33.8796,-118.2168,6037.0,6.0,59.0
122726,15900,1991.0,gmc,p3500,,8 cylinders,gas,5048.0,clean,automatic,,rwd,,,,37.13284,-95.78558000000001,20125.0,20.0,51.0
122727,12500,1991.0,bmw,850i,excellent,12 cylinders,gas,92600.0,clean,automatic,Upon request,rwd,full-size,coupe,black,49.004690999999994,-122.754021,,,
122728,2400,2008.0,ford,focus,,,gas,,clean,automatic,,,,,,33.8286,-118.292,6037.0,6.0,59.0
122729,17999,2016.0,honda,civic ex-l,excellent,4 cylinders,gas,28065.0,clean,automatic,19XFC1F83GE207679,fwd,compact,sedan,black,34.020340000000004,-118.49025400000001,6037.0,6.0,59.0
122731,15900,1966.0,ford,f100,excellent,,gas,,clean,automatic,,,,,,34.0972,-117.9065,6037.0,6.0,59.0
122732,87000,2008.0,,lamborghini gallardo spyder,,,gas,,clean,automatic,,,,,,25.7629,-80.1895,12086.0,12.0,65.0
122733,12999,1976.0,ford,,,,gas,,clean,automatic,,,,,,37.13284,-95.78558000000001,20125.0,20.0,51.0
122735,30900,1997.0,,Plymouth Prowler,,6 cylinders,gas,1439.0,clean,automatic,,rwd,,convertible,purple,36.063839,-115.02167800000001,32003.0,32.0,46.0
122738,1700,1997.0,nissan,pathfinder,,,gas,,clean,manual,,,,,,33.9569,-118.3073,6037.0,6.0,59.0
122739,3500,2001.0,chevy,tahoe,good,8 cylinders,gas,95000.0,clean,automatic,1GNEC13T51J121179,rwd,full-size,SUV,blue,33.8193,-118.2325,6037.0,6.0,59.0
122740,7500,2004.0,pontiac,gto base 2dr coupe,fair,8 cylinders,gas,115000.0,clean,manual,6G2VX12G34L2,rwd,mid-size,coupe,silver,34.029,-118.4005,6037.0,6.0,59.0
122747,3290,2004.0,bmw,3 series 325i,,6 cylinders,gas,160.0,clean,automatic,,,,,blue,36.086,-115.1471,32003.0,32.0,46.0
122755,2600,2002.0,bmw,330i,good,6 cylinders,gas,,clean,automatic,,,,sedan,black,36.1065,-114.9192,32003.0,32.0,46.0
122756,3200,2002.0,toyota,camry,,,gas,,clean,automatic,,,,,,37.13284,-95.78558000000001,20125.0,20.0,51.0
122759,35000,2016.0,,Porsche ma,like new,,gas,32000.0,salvage,automatic,,,,,,34.1073,-118.2266,6037.0,6.0,59.0
122764,5800,2007.0,nissan,pathfinder se 2007,excellent,6 cylinders,gas,122325.0,clean,automatic,,fwd,full-size,SUV,white,33.782,-118.1835,6037.0,6.0,59.0
122766,5000,1961.0,chevy,corvair,good,6 cylinders,gas,67000.0,clean,automatic,Na,,,,black,41.7167,-73.9928,36111.0,36.0,53.0
122772,10000,2007.0,ford,mustang gt,,,gas,,clean,manual,,,,,,36.2395,-115.0257,32003.0,32.0,46.0
122777,400,2019.0,toyota,,,,gas,,clean,manual,,,,,,34.2139,-117.1272,6071.0,6.0,59.0
122782,9500,1985.0,vw,camper/adventure wagon,good,4 cylinders,gas,150000.0,clean,automatic,,rwd,full-size,van,brown,43.5834,-116.5848,16027.0,16.0,47.0
122783,2900,2002.0,honda,oddysey,,6 cylinders,gas,230.0,clean,automatic,,,,,,34.1005,-118.3254,6037.0,6.0,59.0
122799,56900,1967.0,chevrolet,chevelle ss tribute,,,gas,3699.0,clean,automatic,,,,coupe,blue,36.063839,-115.02167800000001,32003.0,32.0,46.0
122805,16500,2007.0,,freightliner,,,diesel,,clean,manual,,,,,,35.083956,-106.651154,35001.0,35.0,45.0
122817,5000,1951.0,ford,victoria,good,,gas,,clean,automatic,,rwd,,,,38.723007,-120.93277900000001,6017.0,6.0,59.0
122819,24000,1950.0,ford,f1 panel truck,,,gas,,clean,automatic,,,,,,42.8853,-78.7462,36029.0,36.0,53.0
122820,48500,1946.0,mercury,convertible,,,gas,,clean,manual,,,,convertible,yellow,42.8853,-78.7462,36029.0,36.0,53.0
122825,13800,2015.0,chevrolet,equinox lx,,,gas,,clean,automatic,,,,,,33.230773,-117.97898500000001,,,
